Time on iteration 0: 0.010777
Time on iteration 1: 0.010432
Time on iteration 2: 0.011761
Time on iteration 3: 0.011176
Time on iteration 4: 0.009791
Time on iteration 5: 0.009053
Time on iteration 6: 0.009144
Time on iteration 7: 0.008835
Time on iteration 8: 0.008476
Time on iteration 9: 0.008252
Time on iteration 10: 0.007859
Time on iteration 11: 0.007712
Time on iteration 12: 0.007263
Time on iteration 13: 0.007306
Time on iteration 14: 0.006980
Time on iteration 15: 0.006872
Time on iteration 16: 0.007020
Time on iteration 17: 0.006944
Time on iteration 18: 0.007163
Time on iteration 19: 0.007082
Time on iteration 20: 0.007062
Time on iteration 21: 0.006941
Time on iteration 22: 0.006707
Time on iteration 23: 0.006881
Time on iteration 24: 0.006904
Time on iteration 25: 0.006738
Time on iteration 26: 0.006743
Time on iteration 27: 0.006675
Time on iteration 28: 0.006635
Time on iteration 29: 0.006650
Time on iteration 30: 0.006716
Time on iteration 31: 0.006872
Time on iteration 32: 0.006906
Time on iteration 33: 0.006991
Time on iteration 34: 0.007165
Time on iteration 35: 0.006865
Time on iteration 36: 0.006952
Time on iteration 37: 0.006988
Time on iteration 38: 0.007217
Time on iteration 39: 0.007536
Time on iteration 40: 0.007687
Time on iteration 41: 0.007677
Time on iteration 42: 0.007025
Time on iteration 43: 0.007559
Time on iteration 44: 0.007600
Time on iteration 45: 0.007532
Time on iteration 46: 0.007406
Time on iteration 47: 0.006991
Time on iteration 48: 0.006896
Time on iteration 49: 0.006810
Time on iteration 50: 0.006777
Time on iteration 51: 0.006757
Time on iteration 52: 0.006697
Time on iteration 53: 0.007049
Time on iteration 54: 0.006920
Time on iteration 55: 0.006824
Time on iteration 56: 0.006813
Time on iteration 57: 0.006813
Time on iteration 58: 0.006816
Time on iteration 59: 0.006806
Time on iteration 60: 0.006821
Time on iteration 61: 0.006773
Time on iteration 62: 0.007004
Time on iteration 63: 0.007112
Time on iteration 64: 0.006822
Time on iteration 65: 0.006867
Time on iteration 66: 0.007040
Time on iteration 67: 0.007196
Time on iteration 68: 0.007093
Time on iteration 69: 0.007499
Time on iteration 70: 0.006811
Time on iteration 71: 0.006702
Time on iteration 72: 0.006812
Time on iteration 73: 0.006820
Time on iteration 74: 0.007193
Time on iteration 75: 0.007034
Time on iteration 76: 0.006874
Time on iteration 77: 0.006836
Time on iteration 78: 0.006733
Time on iteration 79: 0.006730
Time on iteration 80: 0.006927
Time on iteration 81: 0.007196
Time on iteration 82: 0.006922
Time on iteration 83: 0.007094
Time on iteration 84: 0.007171
Time on iteration 85: 0.007164
Time on iteration 86: 0.006842
Time on iteration 87: 0.006878
Time on iteration 88: 0.006878
Time on iteration 89: 0.007067
Time on iteration 90: 0.007119
Time on iteration 91: 0.007065
Time on iteration 92: 0.007055
Time on iteration 93: 0.007026
Time on iteration 94: 0.006929
Time on iteration 95: 0.007014
Time on iteration 96: 0.007230
Time on iteration 97: 0.007170
Time on iteration 98: 0.007152
Time on iteration 99: 0.007165
